moisture,nitrogen,phosphorus,potassium,soil_type,crop
47,22,21,0,Sandy,Maize
59,10,15,0,Loamy,Sugarcane
36,7,20,16,Clayey,Pulses
63,14,38,0,Red,Cotton
43,10,29,8,Clayey,Paddy
40,41,0,0,Sandy,Millets
65,14,35,0,Black,Cotton
59,11,9,0,Loamy,Sugarcane
44,21,28,0,Sandy,Barley
28,8,31,7,Clayey,Pulses
30,13,16,17,Red,Tobacco
30,35,0,0,Black,Millets
50,12,19,18,Loamy,Wheat
61,11,38,0,Loamy,Cotton
26,8,30,9,Black,Oil seeds
45,6,21,19,Clayey,Paddy
41,41,0,0,Red,Ground Nuts
25,9,30,10,Sandy,Maize
32,24,19,0,Clayey,Pulses
27,4,17,17,Red,Tobacco
51,39,0,0,Loamy,Wheat
43,15,41,0,Sandy,Millets
57,12,10,0,Black,Sugarcane
31.27,20,15,2,Loamy,Cotton
50.14,9,14,12,Black,Millets
40.35,28,22,0,Black,Wheat
33.06,8,28,9,Clayey,Millets
46.25,40,0,2,Red,Ground Nuts
46.33,11,11,0,Clayey,Cotton
30.65,6,14,4,Sandy,Oil seeds
58.17,9,11,14,Red,Millets
53.63,5,30,8,Sandy,Ground Nuts
40.96,41,3,0,Red,Cotton
43.3,40,0,0,Black,Wheat
65.09,8,16,1,Clayey,Oil seeds
54.07,15,35,0,Loamy,Cotton
38.71,19,28,4,Loamy,Paddy
31.12,11,12,5,Loamy,Barley
52.62,9,21,22,Sandy,Oil seeds
30.5,11,8,0,Black,Oil seeds
23.18,37,4,2,Black,Maize
31.03,12,13,13,Clayey,Sugarcane
69.07,16,32,3,Clayey,Oil seeds
30.51,12,36,0,Black,Paddy
47.06,45,0,2,Sandy,Tobacco
47.85,7,16,15,Black,Pulses
55.51,10,31,3,Loamy,Sugarcane
65.48,8,28,13,Clayey,Cotton
43.77,2,19,20,Loamy,Tobacco
50.41,11,36,1,Loamy,Sugarcane
21.12,34,3,0,Sandy,Maize
62.92,39,0,0,Red,Sugarcane
30.62,11,32,0,Black,Pulses
46.2,15,8,0,Sandy,Cotton
59.57,38,0,4,Sandy,Maize
70,14,35,0,Loamy,Sugarcane
27.78,18,25,0,Sandy,Pulses
43.9,13,11,16,Sandy,Sugarcane
57.07,4,14,0,Sandy,Pulses
48.49,8,18,9,Red,Paddy
54.23,15,33,4,Red,Wheat
20.16,9,16,15,Loamy,Cotton
34.11,12,33,8,Sandy,Cotton
41.4,35,0,0,Clayey,Paddy
48.36,6,17,16,Loamy,Tobacco
56.32,41,4,3,Red,Ground Nuts
36.89,7,20,11,Loamy,Sugarcane
54.95,7,31,11,Red,Wheat
35.75,11,15,13,Loamy,Pulses
51.17,23,23,0,Red,Cotton
33.12,40,0,0,Red,Wheat
50.07,38,1,0,Loamy,Barley
52.09,21,20,3,Clayey,Wheat
62.22,35,0,4,Clayey,Ground Nuts
67.37,15,33,0,Sandy,Barley
67.14,5,32,7,Clayey,Oil seeds
43.83,13,38,0,Loamy,Wheat
38.51,36,0,0,Red,Maize
53.31,12,15,15,Clayey,Millets
34.86,20,20,0,Black,Paddy
35.35,23,16,2,Black,Oil seeds
41.22,1,22,14,Sandy,Sugarcane
62.63,31,0,1,Clayey,Wheat
52.16,20,21,0,Clayey,Cotton
58.9,7,7,1,Sandy,Oil seeds
69.68,11,14,3,Sandy,Barley
42.55,17,31,0,Black,Sugarcane
49.46,19,19,0,Loamy,Maize
45.07,5,32,8,Loamy,Maize
40.78,39,2,0,Sandy,Ground Nuts
22.27,8,43,1,Sandy,Cotton
20,13,39,4,Red,Tobacco
34.08,13,8,0,Black,Sugarcane
20,12,30,6,Clayey,Barley
32.86,24,17,0,Clayey,Sugarcane
38,26,21,0,Clayey,Pulses
41.53,8,18,13,Loamy,Ground Nuts
47.99,39,0,2,Red,Sugarcane
33.66,37,0,3,Loamy,Maize
55.92,2,25,5,Red,Wheat
42.97,10,12,17,Sandy,Pulses
41.92,3,15,15,Black,Oil seeds
36.14,10,34,0,Loamy,Ground Nuts
31.58,16,22,3,Black,Paddy
55.73,18,38,1,Sandy,Tobacco
62.06,11,16,11,Clayey,Maize
69.67,12,27,13,Sandy,Pulses
46.87,10,11,4,Sandy,Ground Nuts
29.12,13,14,21,Loamy,Oil seeds
67.72,8,32,13,Clayey,Ground Nuts
63.83,36,0,4,Black,Oil seeds
39.27,19,20,0,Clayey,Maize
42.28,41,1,0,Red,Millets
31.9,14,8,13,Loamy,Ground Nuts
22.41,34,0,1,Loamy,Wheat
23.25,8,9,1,Clayey,Ground Nuts
41.18,19,26,0,Loamy,Millets
33.13,38,4,0,Black,Maize
26.8,11,40,2,Black,Tobacco
27.9,26,22,2,Red,Sugarcane
62.34,6,14,1,Loamy,Millets
26.27,9,11,3,Black,Ground Nuts
42.86,13,35,0,Red,Barley
46.45,12,13,4,Red,Wheat
43.03,15,16,0,Clayey,Paddy
42.33,5,32,10,Loamy,Maize
37.76,8,6,4,Black,Maize
47.97,6,10,14,Black,Ground Nuts
37.05,6,9,0,Sandy,Oil seeds
63.79,5,14,3,Loamy,Cotton
32.67,35,0,0,Clayey,Oil seeds
42.93,44,0,0,Clayey,Cotton
49.1,10,12,0,Clayey,Ground Nuts
64.66,38,0,0,Black,Cotton
35.6,19,18,0,Red,Oil seeds
55.92,10,31,5,Sandy,Millets
25.36,15,39,4,Red,Paddy
65.58,3,34,8,Loamy,Cotton
59.87,12,37,0,Sandy,Barley
54.13,16,16,13,Clayey,Cotton
35.02,20,23,0,Red,Pulses
45.34,9,18,19,Clayey,Oil seeds
40.69,35,0,0,Sandy,Sugarcane
39.63,23,15,0,Clayey,Ground Nuts
51.65,6,41,0,Black,Millets
41.7,37,1,0,Red,Paddy
56.8,9,35,0,Red,Barley
20,9,36,0,Clayey,Oil seeds
47.64,11,14,0,Red,Barley
38.36,9,18,4,Sandy,Wheat
37.58,23,22,2,Red,Ground Nuts
24.65,13,42,1,Sandy,Cotton
52.94,37,0,0,Black,Ground Nuts
46.14,21,18,0,Red,Cotton
24.39,13,10,0,Loamy,Wheat
65.38,39,0,0,Black,Sugarcane
45.27,24,21,0,Black,Millets
50.2,10,9,0,Clayey,Pulses
20.33,8,12,0,Red,Wheat
70,7,34,6,Sandy,Maize
46.59,16,13,13,Clayey,Pulses
70,41,0,2,Loamy,Pulses
45.57,19,22,0,Clayey,Millets
32.5,20,19,0,Red,Barley
64.77,11,9,0,Sandy,Sugarcane
67.73,34,4,0,Clayey,Oil seeds
25.35,11,35,0,Clayey,Ground Nuts
46.43,34,2,0,Sandy,Cotton
34.97,17,15,0,Black,Wheat
53.09,15,11,11,Black,Pulses
69.87,15,40,0,Loamy,Paddy
33.6,21,18,0,Black,Oil seeds
29.64,17,20,0,Red,Barley
42.77,10,18,12,Clayey,Oil seeds
23.84,8,12,13,Loamy,Maize
59.34,11,12,1,Sandy,Maize
33.57,18,42,0,Black,Barley
34.04,4,10,0,Clayey,Oil seeds
50.06,9,10,4,Red,Sugarcane
33.44,33,2,0,Black,Pulses
70,11,41,2,Loamy,Pulses
23.31,43,0,0,Loamy,Cotton
32.06,21,24,4,Sandy,Paddy
70,10,32,1,Loamy,Ground Nuts
20,14,13,11,Sandy,Oil seeds
53.16,39,2,1,Sandy,Tobacco
55.71,10,18,9,Sandy,Sugarcane
39.29,37,1,0,Black,Sugarcane
29.35,22,26,0,Black,Millets
65.83,13,5,4,Loamy,Pulses
29.98,18,23,4,Black,Ground Nuts
28.42,42,4,1,Sandy,Tobacco
22.36,41,2,0,Clayey,Ground Nuts
40.49,17,12,0,Loamy,Paddy
28.94,10,32,0,Loamy,Millets
69.92,8,31,14,Sandy,Oil seeds
31.32,38,2,0,Red,Wheat
39.2,9,16,0,Black,Wheat
32.64,12,31,2,Clayey,Maize
43.64,18,19,0,Red,Tobacco
28.68,6,11,0,Black,Tobacco
33.05,0,19,16,Black,Tobacco
59.1,6,13,2,Red,Barley
47.33,3,30,12,Red,Cotton
36.28,15,45,4,Red,Barley
62.13,7,6,0,Black,Pulses
36.58,37,0,0,Black,Sugarcane
47.46,26,21,0,Sandy,Paddy
59.47,18,36,0,Clayey,Paddy
30.62,2,12,20,Black,Cotton
57.23,38,0,0,Clayey,Pulses
56.12,16,44,0,Loamy,Pulses
29.32,16,38,0,Black,Barley
49.7,23,23,0,Clayey,Cotton
53.7,3,31,12,Loamy,Millets
48.76,35,2,0,Black,Maize
46.33,31,0,3,Loamy,Paddy
59.99,42,0,0,Clayey,Cotton
48.82,33,0,3,Red,Cotton
42.09,8,18,22,Red,Barley
54.12,5,26,6,Loamy,Maize
43.31,35,2,3,Red,Paddy
37.35,16,15,0,Red,Maize
39.28,20,17,0,Red,Oil seeds
29.79,10,13,21,Loamy,Wheat
46.04,10,9,12,Red,Oil seeds
61.4,15,10,16,Black,Wheat
34.08,19,21,0,Red,Maize
30.91,35,0,2,Red,Cotton
35.4,35,0,3,Black,Tobacco
23.31,37,0,0,Sandy,Ground Nuts
23.76,18,45,0,Loamy,Barley
47.02,7,5,0,Black,Oil seeds
57.6,37,0,4,Red,Barley
33.31,23,25,1,Red,Paddy
47.85,14,32,9,Clayey,Paddy
59.74,12,34,0,Loamy,Maize
61.72,41,1,0,Clayey,Maize
50.41,12,23,10,Black,Cotton
20,19,15,15,Black,Ground Nuts
70,40,0,4,Black,Barley
33.4,9,37,0,Sandy,Paddy
35.25,40,0,3,Loamy,Barley
35.01,14,12,0,Clayey,Pulses
43.87,10,27,8,Red,Paddy
29.53,7,45,4,Loamy,Sugarcane
35.48,42,0,0,Black,Wheat
22.19,4,26,10,Black,Sugarcane
21.76,14,11,0,Black,Sugarcane
49.89,25,19,0,Red,Pulses
36.26,7,34,11,Sandy,Wheat
55.83,35,0,1,Loamy,Pulses
28.6,36,3,3,Black,Millets
46.56,14,37,2,Sandy,Ground Nuts
62.32,8,32,9,Clayey,Ground Nuts
52.38,8,38,0,Loamy,Maize
58.95,10,43,0,Black,Cotton
55.75,35,1,0,Red,Tobacco
44.94,25,22,4,Black,Pulses
51.69,3,31,4,Clayey,Barley
68.56,12,39,0,Red,Millets
45.77,14,36,1,Loamy,Tobacco
33,4,26,9,Loamy,Oil seeds
35.3,11,36,0,Red,Sugarcane
28.05,36,0,0,Red,Tobacco
26.32,9,38,4,Black,Wheat
56.12,38,0,0,Black,Barley
68.62,13,38,0,Black,Pulses
32.87,41,1,3,Sandy,Wheat
38,28,27,0,Black,Paddy
37.36,11,9,0,Sandy,Wheat
55.18,12,31,0,Clayey,Oil seeds
34.73,38,0,3,Red,Wheat
27.62,1,13,17,Clayey,Maize
41.47,3,16,12,Black,Millets
36.72,10,42,2,Loamy,Barley
54.45,21,22,0,Sandy,Barley
30.84,21,22,0,Red,Tobacco
30.92,16,39,0,Black,Tobacco
37.84,13,6,4,Sandy,Cotton
57.02,27,20,0,Sandy,Millets
63.43,5,36,10,Loamy,Millets
52.37,5,5,3,Sandy,Wheat
56.9,16,36,4,Black,Paddy
37.59,11,42,0,Loamy,Maize
67.89,37,2,1,Loamy,Tobacco
26.04,43,2,2,Clayey,Wheat
52.95,25,22,0,Clayey,Barley
63.37,10,26,7,Clayey,Ground Nuts
26.57,23,22,2,Black,Barley
42.8,9,32,8,Red,Ground Nuts
34.5,12,44,1,Red,Paddy
41.16,37,4,0,Clayey,Paddy
45.85,44,0,0,Black,Pulses
20.77,12,42,0,Black,Pulses
55.33,12,32,7,Black,Ground Nuts
20,11,31,14,Black,Pulses
38.71,8,21,20,Red,Wheat
37.05,14,36,3,Sandy,Millets
44.71,38,4,0,Sandy,Ground Nuts
52.06,26,25,0,Red,Paddy
44.04,36,4,0,Loamy,Wheat
64.12,9,12,14,Sandy,Paddy
51.81,8,37,0,Clayey,Tobacco
35.02,10,12,0,Clayey,Wheat
45.29,18,17,3,Clayey,Maize
35.32,11,27,4,Clayey,Sugarcane
70,2,32,9,Clayey,Oil seeds
51.62,36,4,0,Sandy,Maize
57.4,4,15,0,Black,Pulses
56.8,7,42,3,Sandy,Oil seeds
54.72,41,4,0,Black,Ground Nuts
26.2,19,33,0,Red,Oil seeds
51.24,24,16,0,Loamy,Ground Nuts
40,8,40,0,Red,Paddy
53.16,19,15,0,Black,Cotton
38.54,2,19,16,Black,Tobacco
57.72,36,2,0,Sandy,Cotton
25.67,13,26,10,Loamy,Sugarcane
65.32,5,29,14,Black,Pulses
41.48,9,10,0,Black,Barley
39.18,12,34,0,Clayey,Maize
41.84,18,29,0,Red,Barley
24.17,10,17,0,Sandy,Barley
41.1,14,38,2,Clayey,Oil seeds
45.85,1,17,14,Loamy,Cotton
43.74,10,40,0,Sandy,Pulses
39.26,23,26,0,Loamy,Maize
42.56,15,41,0,Clayey,Sugarcane
20,12,37,0,Loamy,Millets
36.95,34,1,2,Clayey,Barley
38.43,41,4,0,Red,Cotton
51.4,4,28,9,Red,Maize
40.32,24,17,0,Clayey,Paddy
33.26,5,31,10,Sandy,Sugarcane
21.43,39,4,1,Loamy,Paddy
48.83,21,23,2,Black,Cotton
58.64,40,0,0,Clayey,Pulses
57.75,34,0,4,Clayey,Millets
69.2,7,16,14,Loamy,Sugarcane
50.97,9,8,11,Red,Oil seeds
48.6,9,13,3,Black,Wheat
68.08,13,30,10,Clayey,Tobacco
52.3,6,40,4,Loamy,Sugarcane
43.91,18,27,4,Black,Oil seeds
44.74,44,0,0,Sandy,Wheat
43.88,18,33,0,Loamy,Barley
63.49,15,7,1,Red,Maize
37.18,12,40,1,Red,Maize
33.05,17,40,0,Red,Ground Nuts
52.23,18,42,0,Sandy,Ground Nuts
27.43,39,0,1,Sandy,Pulses
38.94,11,42,0,Clayey,Millets
61.27,8,19,0,Sandy,Oil seeds
34.24,2,12,19,Black,Wheat
48.66,36,3,0,Clayey,Sugarcane
51.07,36,0,0,Red,Millets
45.65,12,30,3,Clayey,Millets
48.45,40,2,0,Black,Maize
45.45,9,16,17,Black,Maize
46.97,19,18,0,Red,Millets
66.01,18,39,0,Loamy,Oil seeds
38.91,36,3,0,Black,Tobacco
24.59,9,32,9,Sandy,Barley
35.47,14,34,0,Loamy,Pulses
32.12,6,13,12,Clayey,Barley
31.86,38,0,0,Loamy,Sugarcane
45.02,8,38,0,Red,Wheat
51.07,26,17,0,Sandy,Sugarcane
43.81,37,4,0,Clayey,Millets
30.81,17,41,3,Black,Cotton
40.11,20,22,0,Red,Tobacco
65.56,9,12,4,Sandy,Wheat
65.99,9,32,8,Black,Wheat
29.27,20,20,2,Red,Wheat
38.34,40,2,0,Loamy,Oil seeds
44.88,34,3,2,Loamy,Wheat
59.14,40,0,0,Loamy,Paddy
41.14,28,16,3,Sandy,Tobacco
20,0,16,13,Red,Paddy
57.55,7,27,8,Clayey,Maize
52.56,22,24,0,Sandy,Maize
39.74,7,30,8,Sandy,Millets
29.35,10,42,4,Clayey,Wheat
33.56,13,12,0,Black,Pulses
24.01,11,38,0,Black,Maize
36.65,7,28,8,Black,Oil seeds
33.96,16,16,1,Red,Millets
24.93,21,19,2,Red,Ground Nuts
64.41,5,32,5,Black,Paddy
49.43,40,4,0,Sandy,Wheat
35.47,22,26,4,Clayey,Millets
38.61,16,5,1,Red,Wheat
36.8,10,35,0,Clayey,Paddy
51.52,4,24,9,Black,Wheat
35.72,14,37,3,Red,Tobacco
29.13,12,17,0,Loamy,Oil seeds
43,28,14,0,Sandy,Barley
46.15,25,19,0,Sandy,Wheat
35.94,39,0,3,Red,Ground Nuts
25.16,35,2,0,Red,Pulses
28.57,19,40,0,Clayey,Barley
56.64,11,4,0,Red,Sugarcane
41.14,42,0,0,Loamy,Tobacco
37.85,7,37,0,Loamy,Sugarcane
60.57,8,40,0,Clayey,Ground Nuts
37.49,33,0,3,Black,Cotton
51.37,17,21,0,Clayey,Paddy
58.59,8,9,2,Red,Wheat
67.45,14,11,12,Black,Pulses
63.69,11,37,4,Red,Tobacco
70,4,26,11,Clayey,Sugarcane
42.29,26,18,0,Loamy,Sugarcane
28.49,44,2,0,Sandy,Barley
28.38,36,0,0,Black,Ground Nuts
60.02,12,31,0,Red,Maize
43.11,10,20,15,Red,Paddy
46.26,9,17,18,Black,Maize
63.48,8,39,0,Red,Ground Nuts
45.66,18,11,0,Red,Paddy
50.3,16,7,0,Black,Millets
45,13,41,3,Loamy,Ground Nuts
46.85,24,29,0,Red,Cotton
55.82,37,0,4,Loamy,Pulses
38.39,26,22,3,Black,Ground Nuts
25.01,14,35,0,Loamy,Sugarcane
31.72,12,41,0,Sandy,Paddy
37.56,21,21,4,Black,Millets
70,3,26,6,Sandy,Wheat
45.96,3,20,18,Sandy,Maize
40.55,16,44,2,Loamy,Maize
50.52,18,24,0,Sandy,Wheat
54.46,13,13,0,Red,Maize
33.41,35,0,2,Red,Millets
69.48,12,39,0,Sandy,Millets
40.12,17,21,0,Loamy,Pulses
42.81,46,4,4,Red,Paddy
45.71,7,31,4,Black,Sugarcane
48.4,9,18,20,Loamy,Cotton
40.77,13,37,2,Loamy,Millets
30.3,8,30,3,Loamy,Pulses
27.58,9,17,0,Black,Paddy
31.93,36,3,3,Red,Millets
42.03,9,32,12,Sandy,Sugarcane
58.99,19,39,1,Black,Sugarcane
36.61,10,14,0,Red,Barley
29.85,33,0,0,Clayey,Pulses
44.08,11,16,0,Black,Pulses
62.52,5,33,11,Black,Tobacco
44.07,39,0,4,Black,Tobacco
62.34,11,19,0,Clayey,Ground Nuts
45.46,23,21,1,Red,Pulses
46.21,26,25,4,Loamy,Cotton
54.63,14,9,2,Red,Millets
24.8,34,0,0,Loamy,Tobacco
34.03,18,40,2,Sandy,Wheat
69.81,4,29,4,Loamy,Barley
50.56,7,19,20,Clayey,Wheat
45.37,34,0,4,Clayey,Oil seeds
41.83,12,39,4,Sandy,Wheat
46.08,8,27,5,Red,Millets
27.47,19,25,0,Black,Oil seeds
48.08,11,22,14,Clayey,Paddy
28.7,16,40,2,Clayey,Wheat
56.3,39,1,1,Sandy,Barley
42.75,39,0,0,Clayey,Paddy
66.29,8,17,2,Sandy,Maize
33.64,24,17,0,Red,Ground Nuts
48.59,25,19,0,Sandy,Ground Nuts
21.3,13,13,17,Black,Maize
33.37,12,44,0,Red,Oil seeds
48.02,18,19,2,Black,Cotton
21.74,14,14,15,Clayey,Oil seeds
54.66,12,37,1,Clayey,Sugarcane
50.17,11,39,1,Loamy,Tobacco
70,13,8,3,Red,Tobacco
45.5,36,3,0,Sandy,Ground Nuts
28.32,16,33,0,Loamy,Tobacco
30.97,8,11,2,Black,Cotton
23.01,8,27,2,Clayey,Pulses
39.17,41,0,0,Loamy,Millets
29.86,7,27,8,Sandy,Paddy
50.44,24,19,4,Red,Pulses
29.01,7,41,0,Loamy,Ground Nuts
42.58,35,0,0,Clayey,Ground Nuts
31.18,12,36,4,Loamy,Millets
27.28,45,0,1,Red,Oil seeds
55.93,11,27,10,Loamy,Millets
46.74,9,27,7,Loamy,Maize
39.61,6,31,11,Sandy,Cotton
28.91,41,0,3,Clayey,Tobacco
40.31,26,14,0,Sandy,Ground Nuts
44.08,12,14,9,Red,Oil seeds
24.45,7,34,0,Black,Maize
41.08,3,17,16,Black,Oil seeds
61.36,9,38,0,Sandy,Maize
38.86,13,37,1,Red,Ground Nuts
52.93,33,3,0,Loamy,Maize
44.06,1,12,17,Red,Pulses
41.6,30,1,0,Loamy,Pulses
56.58,32,2,0,Clayey,Cotton
35.74,45,0,0,Red,Cotton
40.06,41,0,2,Red,Tobacco
62.06,10,15,10,Black,Oil seeds
39.3,9,12,4,Red,Pulses
60.84,10,15,17,Sandy,Millets
70,32,0,0,Black,Ground Nuts
28.69,9,20,18,Black,Oil seeds
27.7,10,14,0,Loamy,Sugarcane
59.44,9,39,2,Sandy,Ground Nuts
67.15,36,0,0,Loamy,Ground Nuts
48.53,37,0,0,Black,Tobacco
45.26,36,0,0,Sandy,Maize
41.77,6,36,2,Sandy,Pulses
30.41,13,9,4,Black,Cotton
42.57,45,1,4,Sandy,Tobacco
31.75,17,23,0,Sandy,Ground Nuts
42.19,19,33,3,Sandy,Cotton
42.1,22,21,0,Loamy,Paddy
27.98,39,0,0,Black,Wheat
58.8,8,14,15,Sandy,Ground Nuts
37.86,8,32,4,Loamy,Sugarcane
43.75,38,0,0,Clayey,Pulses
45.22,6,23,12,Loamy,Tobacco
58.15,12,12,0,Clayey,Wheat
50.08,13,17,5,Sandy,Tobacco
39.39,37,0,0,Sandy,Ground Nuts
29.53,16,7,17,Black,Paddy
66.09,7,10,0,Sandy,Pulses
59.39,10,19,17,Sandy,Barley
54.26,35,0,0,Loamy,Pulses
51.54,20,22,0,Clayey,Pulses
46.87,25,20,3,Clayey,Ground Nuts
70,15,16,7,Black,Maize
35.76,10,26,11,Loamy,Maize
40.04,13,40,0,Red,Barley
59.72,22,22,0,Sandy,Ground Nuts
62.08,12,44,2,Loamy,Ground Nuts
58.77,7,13,17,Red,Paddy
61.76,10,33,0,Black,Barley
45.38,21,23,0,Loamy,Wheat
60.28,9,25,8,Sandy,Wheat
29.78,3,29,3,Loamy,Barley
36.28,28,20,2,Sandy,Tobacco
41.22,8,13,4,Red,Tobacco
55.76,35,0,4,Sandy,Oil seeds
62.62,12,38,2,Loamy,Cotton
36.7,43,2,4,Clayey,Millets
32.3,10,17,20,Loamy,Maize
45.73,12,33,1,Black,Cotton
56.8,14,36,0,Sandy,Paddy
43.3,40,0,0,Loamy,Tobacco
51.9,10,45,0,Loamy,Barley
70,17,31,0,Red,Millets
68.25,7,26,14,Sandy,Tobacco
43.99,18,22,1,Black,Cotton
31.39,32,0,2,Black,Sugarcane
51.1,12,21,20,Red,Millets
46.09,11,12,0,Loamy,Millets
34.89,14,9,0,Sandy,Barley
42.52,12,40,3,Red,Tobacco
45.5,12,39,0,Black,Wheat
42.37,44,4,0,Clayey,Barley
38.19,16,40,0,Black,Tobacco
37.74,12,41,1,Sandy,Barley
27.75,10,10,0,Sandy,Maize
46.39,38,1,0,Black,Cotton
40.63,20,23,0,Black,Tobacco
34,11,39,0,Loamy,Cotton
48.09,21,23,0,Loamy,Sugarcane
41.02,21,24,2,Loamy,Tobacco
47.43,10,13,22,Clayey,Maize
27.64,18,21,2,Sandy,Maize
23.55,4,30,4,Loamy,Pulses
33.23,39,1,4,Sandy,Tobacco
43.17,11,18,14,Loamy,Sugarcane
53.07,14,38,0,Clayey,Wheat
41.53,10,43,4,Clayey,Ground Nuts
56.83,14,33,3,Sandy,Paddy
52.13,10,28,9,Clayey,Sugarcane
51.97,20,26,0,Clayey,Tobacco
40.76,14,10,0,Black,Cotton
61.12,11,34,5,Red,Oil seeds
33.95,18,20,1,Red,Maize
35.77,10,9,0,Loamy,Barley
61.77,10,29,6,Clayey,Sugarcane
51.74,21,25,0,Clayey,Oil seeds
34.14,19,27,4,Loamy,Oil seeds
37.28,24,28,0,Clayey,Millets
49.46,10,11,0,Sandy,Sugarcane
41.73,3,21,21,Sandy,Ground Nuts
41.59,9,9,0,Sandy,Paddy
62.96,11,26,10,Clayey,Oil seeds
40.56,17,38,4,Red,Millets
45.05,3,16,18,Red,Ground Nuts
42.78,44,2,0,Clayey,Sugarcane
61,3,29,11,Loamy,Pulses
28.4,18,16,0,Black,Pulses
42.49,7,17,14,Red,Sugarcane
31.06,18,20,0,Sandy,Ground Nuts
28.47,16,11,0,Loamy,Maize
66.49,31,0,0,Red,Maize
42.08,39,3,0,Black,Wheat
27.4,39,4,0,Loamy,Ground Nuts
48.64,4,8,0,Loamy,Pulses
30.41,14,16,21,Red,Sugarcane
59.41,13,40,1,Sandy,Tobacco
37.37,38,4,2,Loamy,Millets
39.71,6,12,18,Clayey,Paddy
45.42,7,11,0,Clayey,Ground Nuts
70,5,26,8,Red,Tobacco
50.78,21,17,3,Sandy,Cotton
55.51,14,8,18,Loamy,Wheat
58.08,12,7,0,Black,Millets
30.81,35,1,4,Loamy,Pulses
42.72,39,0,3,Red,Sugarcane
29.28,10,35,0,Red,Barley
29.79,22,21,2,Clayey,Pulses
41.68,17,10,0,Black,Oil seeds
29.94,9,19,19,Clayey,Paddy
61.31,6,31,13,Sandy,Maize
29.75,31,1,1,Sandy,Barley
61.45,38,4,2,Black,Pulses
47.36,8,13,14,Clayey,Oil seeds
60.88,34,0,0,Sandy,Maize
49.47,15,10,15,Loamy,Millets
29.5,23,22,0,Clayey,Pulses
43.05,9,10,3,Clayey,Paddy
53.18,9,21,15,Loamy,Paddy
20,4,25,9,Black,Paddy
22.43,35,0,2,Black,Barley
32.69,13,41,0,Sandy,Millets
23.41,14,12,16,Clayey,Cotton
45.78,10,32,7,Sandy,Millets
62.01,13,37,0,Red,Ground Nuts
46.67,7,11,13,Sandy,Sugarcane
30.73,38,0,0,Black,Paddy
59.74,6,33,5,Loamy,Oil seeds
33.33,19,41,2,Black,Barley
29.07,8,13,20,Black,Barley
36.68,21,22,3,Clayey,Tobacco
39.9,24,20,0,Clayey,Barley
39.35,5,10,13,Red,Paddy
68.8,16,36,4,Red,Tobacco
60.88,9,28,5,Loamy,Sugarcane
35.91,16,40,1,Red,Cotton
